pop,psavert
198712,12.6
198911,12.6
199113,11.9
199311,12.9
199498,12.8
199657,11.8
199808,11.7
199920,12.3
200056,11.7
200208,12.3
200361,12
200536,11.7
200706,10.7
200898,10.5
201095,10.6
201290,10.8
201466,10.6
201621,11.1
201760,10.3
201881,9.7
202023,10.2
202161,9.7
202331,10.1
202507,11.1
202677,11.8
202877,11.5
203090,11.6
203302,11.4
203500,11.6
203675,11.8
203849,11.8
204008,11.7
204156,12.4
204401,13.3
204607,12.4
204830,12.3
205052,13.5
205295,13.4
205540,12.9
205788,13.1
206024,13.6
206238,13.2
206466,13.3
206668,13.3
206855,13.5
207065,13.2
207260,13.6
207462,14.7
207661,13.8
207881,13.6
208114,13.3
208345,13.3
208555,13.1
208740,13
208917,12.5
209061,12.8
209212,11.8
209386,11.5
209545,11.7
209725,11.7
209896,11.7
210075,12
210278,12.2
210479,13
210656,13.6
210821,13.7
210985,12.4
211120,12.5
211254,12.7
211420,13.2
211577,13.2
211746,13.6
211909,13.2
212092,13.9
212289,13.1
212475,14.4
212634,14.4
212785,14.8
212932,14.3
213074,14.2
213211,13.4
213361,13.1
213513,12.8
213686,12.8
213854,12.8
214042,12.1
214246,12.9
214451,13.4
214625,13.8
214782,14
214931,13.2
215065,12.5
215198,12.7
215353,14.2
215523,17.3
215768,14.3
215973,12.6
216195,13
216393,13
216587,13.4
216771,12.7
216931,12
217095,11.7
217249,12.3
217381,12.2
217528,11.7
217685,12.3
217861,11.4
218035,11.7
218233,11.7
218440,11.4
218644,11.1
218834,11.4
219006,10.6
219179,10.6
219344,9.3
219504,10.5
219684,10.5
219859,10.3
220046,10.6
220239,10.5
220458,10.9
220688,11.1
220904,11
221109,11.2
221303,11.4
221477,11.9
221629,11.1
221792,11
221991,10.8
222176,10.3
222379,10
222585,10.9
222805,10.5
223053,10.6
223271,10.7
223477,10.5
223670,10.4
223865,11.1
224053,11.1
224235,11.2
224438,11
224632,10.3
224843,9.9
225055,10.6
225295,9.7
225547,9.4
225801,9.7
226027,9.7
226243,10.1
226451,9.9
226656,10.1
226849,10.2
227061,11.3
227251,11.4
227522,11.2
227726,11.3
227953,11.3
228186,11.7
228417,11.3
228612,11.6
228779,11.4
228937,10.9
229071,10.8
229224,10.8
229403,10.9
229575,11
229761,10.8
229966,12.3
230187,12
230412,12.4
230641,13
230822,13.2
230989,12.5
231157,12.7
231313,12.1
231470,12.2
231645,12.9
231809,12.3
231992,12.3
232188,12.5
232392,12.6
232599,11.8
232816,11.3
232993,10.9
233160,10.9
233322,11.1
233473,11.1
233613,10.6
233781,10.3
233922,9.9
234118,9.1
234307,9.6
234501,9.2
234701,9.6
234907,9.7
235078,10.3
235235,10.1
235385,10
235527,11.7
235675,11.5
235839,11.5
235993,11.1
236160,11.1
236348,11.6
236549,11.8
236760,11.8
236976,11.7
237159,10.9
237316,11.2
237468,10.3
237602,9.1
237732,8.7
237900,9.9
238074,11.1
238270,9.6
238466,9.1
238679,8.2
238898,7.3
239113,9.1
239307,9
239477,8.6
239638,8.6
239788,9.3
239928,9.9
240094,9.7
240271,9.3
240459,9.4
240651,9.3
240854,9
241068,7.2
241274,8.4
241467,8.8
241620,7
241784,9.7
241930,8.5
242079,8.5
242252,4.5
242423,8.2
242608,7.7
242804,7.5
243012,7.2
243223,7.6
243446,8.3
243639,8.5
243809,8.7
243981,8.1
244131,8.6
244279,8.2
244445,8.8
244610,8.4
244806,8.4
245021,8.6
245240,8.4
245464,8.9
245693,8.6
245884,8.4
246056,8.3
246224,8.5
246378,9
246530,9.5
246721,8.4
246906,8.1
247114,8.2
247342,8.2
247573,7.6
247816,8.1
248067,8.5
248281,8.6
248479,7.8
248659,8
248827,8.6
249012,8.3
249306,8.8
249565,8.7
249849,8.6
250132,8.7
250439,8.1
250751,8.1
251057,7.8
251346,7.9
251626,8.8
251889,9.3
252135,8.8
252372,8
252643,8.6
252913,8.4
253207,8.9
253493,8.2
253807,8.6
254126,8.8
254435,9.3
254718,9
254964,9.7
255214,9.4
255448,9.8
255703,9.7
255992,9.9
256285,9.9
256589,10.1
256894,9.6
257232,9.7
257548,8.7
257861,8
258147,8
258413,10.6
258679,8.6
258919,8.9
259152,8.9
259414,8.7
259680,8.3
259963,7.8
260255,7.6
260566,7.7
260867,6.9
261163,6.3
261425,6.3
261674,9.1
261919,7.1
262123,6.5
262352,6.8
262631,6.4
262877,7.6
263152,6.9
263436,7
263724,6.5
264017,6.8
264301,7.1
264559,7
264804,7.2
265044,7.5
265270,7.8
265495,7.5
265755,6.9
265998,7.1
266270,6.7
266557,7.1
266843,6.7
267152,6.8
267456,7.1
267715,6.6
267943,6.1
268151,6.7
268364,6.7
268595,6.6
268853,5.7
269108,6.7
269386,7.1
269667,6.7
269976,6.6
270284,6.7
270581,6.4
270878,6.4
271125,6.4
271360,6.2
271585,6.2
271821,6.4
272083,6.5
272342,6.8
272622,6.6
272912,6.1
273237,6
273553,6.2
273852,6.2
274126,6.4
274372,6.4
274626,7.4
274838,7.4
275047,7.5
275304,7.2
275564,6.9
275836,6.8
276115,6.9
276418,6.8
276714,6.4
277003,6.2
277277,6.3
277526,5.8
277790,6.4
277992,6.2
278198,5.9
278451,5.2
278717,4.9
279001,4.8
279295,4.8
279602,4.7
279903,4.2
280203,4.6
280471,4.8
280716,4.4
280976,5.4
281190,4.8
281409,4.5
281653,5
281877,4.9
282126,4.9
282385,5.2
282653,5.2
282932,4.5
283201,4.6
283453,4.5
283696,4.2
283920,4.8
284137,4.9
284350,5.3
284581,5
284810,4.5
285062,4.5
285309,5.6
285570,6.8
285843,7
286098,3.4
286341,4.1
286570,4.5
286788,6.1
286994,5.8
287190,5.9
287397,5.8
287623,6.5
287864,6.4
288105,5.5
288360,5.4
288618,5.7
288870,5.7
289106,5.7
289313,5.5
289518,5.5
289714,5.6
289911,5.3
290125,5.3
290346,5.8
290584,5.6
290820,6.3
291072,6
291321,5.2
291574,5.3
291807,5.4
292008,5.4
292192,5
292368,5
292561,4.9
292779,5.3
292997,5.3
293223,5.8
293463,5.3
293719,5.2
293971,4.6
294230,4.5
294466,4.1
294694,6.9
294914,3.7
295105,3.4
295287,3.6
295490,3.1
295704,3.5
295936,2.9
296186,2.2
296440,2.7
296707,2.7
296972,3.1
297207,3.5
297431,3.7
297647,4.2
297854,4.2
298060,4.2
298281,4
298496,3.8
298739,4
298996,3.4
299263,3.6
299554,3.6
299835,3.6
300094,3.9
300340,3.7
300574,3.7
300802,4.1
301021,4.4
301254,4.2
301483,4
301739,3.8
302004,3.7
302267,3.4
302546,3.5
302807,3.4
303054,3.1
303287,3.6
303506,3.7
303711,4.1
303907,4
304117,3.4
304323,7.8
304556,5.5
304798,4.4
305045,3.8
305309,4.7
305554,5.5
305786,6.4
306004,6.4
306208,6.2
306402,5.5
306588,5.9
306787,6.8
306984,8.2
307206,6.7
307439,6
307685,4.9
307946,5.9
308189,5.4
308418,5.9
308633,5.9
308833,6.1
309027,5.8
309212,5.7
309191.211,6.4
309369.053,7
309548.502,6.9
309745.698,6.8
309957.775,6.9
310176.466,6.7
310399.958,6.6
310595.764,6.6
310781.705,7.1
310960.74,7.4
311113.376,7.6
311265.404,7
311436.238,6.9
311607.08,6.9
311791.223,7.2
311997.049,7.3
312205.367,7.2
312429.118,6.8
312644.159,6.8
312829.523,7
313009.712,7.8
313183.179,8
313338.977,8
313499.369,8.5
313667.127,8.7
313830.53,8.8
314017.594,9.1
314210.786,8.2
314422.341,8
314646.749,8.2
314853.978,8.8
315053.863,9.7
315232.752,12
315389.595,6.3
315520.143,5.8
315662.224,5.9
315817.855,6.4
315983.654,6.7
316171.042,6.8
316358.778,6.6
316580.327,6.7
316806.125,6.8
317022.27,6.3
317228.026,6.2
317411.551,6.4
317593.923,7.1
317753.883,7.3
317917.203,7.4
318089.218,7.4
318269.505,7.4
318464.152,7.4
318662.368,7.5
318893.786,7.2
319125.296,7.4
319353.734,7.2
319564.209,7.3
319746.157,7.6
319928.646,7.7
320074.511,7.9
320230.786,7.4
320402.295,7.6
