psavert,pop,pce,unemploy
12.6,198712,506.7,2944
12.6,198911,509.8,2945
11.9,199113,515.6,2958
12.9,199311,512.2,3143
12.8,199498,517.4,3066
11.8,199657,525.1,3018
11.7,199808,530.9,2878
12.3,199920,533.6,3001
11.7,200056,544.3,2877
12.3,200208,544,2709
12,200361,549.8,2740
11.7,200536,556.3,2938
10.7,200706,563.2,2883
10.5,200898,567,2768
10.6,201095,568.2,2686
10.8,201290,571.6,2689
10.6,201466,576.7,2715
11.1,201621,576.5,2685
10.3,201760,583.5,2718
9.7,201881,588.7,2692
10.2,202023,588.9,2712
9.7,202161,593.9,2758
10.1,202331,600.3,2713
11.1,202507,600.9,2816
11.8,202677,602.7,2868
11.5,202877,609.9,2856
11.6,203090,613.2,3040
11.4,203302,618.5,3049
11.6,203500,620.5,2856
11.8,203675,622.8,2884
11.8,203849,628.7,3201
11.7,204008,634,3453
12.4,204156,632.3,3635
13.3,204401,636,3797
12.4,204607,642.4,3919
12.3,204830,646.3,4071
13.5,205052,648.5,4175
13.4,205295,652.9,4256
12.9,205540,659.1,4456
13.1,205788,658.3,4591
13.6,206024,656.6,4898
13.2,206238,665.6,5076
13.3,206466,676.1,4986
13.3,206668,679.4,4903
13.5,206855,682,4987
13.2,207065,688.8,4959
13.6,207260,691.1,4996
14.7,207462,699.8,4949
13.8,207661,698.9,5035
13.6,207881,704.9,5134
13.3,208114,713,5042
13.3,208345,715.8,4954
13.1,208555,720.9,5161
13,208740,728.4,5154
12.5,208917,731.5,5019
12.8,209061,736.2,4928
11.8,209212,749.2,5038
11.5,209386,752.5,4959
11.7,209545,758,4922
11.7,209725,761.6,4923
11.7,209896,769.9,4913
12,210075,776.3,4939
12.2,210278,781.1,4849
13,210479,794.9,4875
13.6,210656,800.5,4602
13.7,210821,806.1,4543
12.4,210985,816.5,4326
12.5,211120,825.8,4452
12.7,211254,832.8,4394
13.2,211420,835.7,4459
13.2,211577,841.6,4329
13.6,211746,844.3,4363
13.2,211909,854.1,4305
13.9,212092,853.3,4305
13.1,212289,869.2,4350
14.4,212475,868.2,4144
14.4,212634,876.9,4396
14.8,212785,876.6,4489
14.3,212932,884.5,4644
14.2,213074,889.7,4731
13.4,213211,901.4,4634
13.1,213361,910.8,4618
12.8,213513,922.4,4705
12.8,213686,928,4927
12.8,213854,937.9,5063
12.1,214042,954.8,5022
12.9,214246,955.1,5437
13.4,214451,959.2,5523
13.8,214625,956.2,6140
14,214782,961.8,6636
13.2,214931,975.6,7501
12.5,215065,989.4,7520
12.7,215198,990.6,7978
14.2,215353,995,8210
17.3,215523,1018.9,8433
14.3,215768,1026.8,8220
12.6,215973,1039.8,8127
13,216195,1047,7928
13,216393,1054.8,7923
13.4,216587,1060.9,7897
12.7,216771,1075.8,7794
12,216931,1092.1,7744
11.7,217095,1107.1,7534
12.3,217249,1107.7,7326
12.2,217381,1114.9,7230
11.7,217528,1125.4,7330
12.3,217685,1122.7,7053
11.4,217861,1140.5,7322
11.7,218035,1149.6,7490
11.7,218233,1158,7518
11.4,218440,1168.8,7380
11.1,218644,1176.8,7430
11.4,218834,1189,7620
10.6,219006,1211.5,7545
10.6,219179,1215,7280
9.3,219344,1231.3,7443
10.5,219504,1238.3,7307
10.5,219684,1247.3,7059
10.3,219859,1257.1,6911
10.6,220046,1263.6,7134
10.5,220239,1280.5,6829
10.9,220458,1285.7,6925
11.1,220688,1294.5,6751
11,220904,1311.4,6763
11.2,221109,1327,6815
11.4,221303,1336,6386
11.9,221477,1329.5,6489
11.1,221629,1355.1,6318
11,221792,1377.5,6337
10.8,221991,1396.4,6180
10.3,222176,1412,6127
10,222379,1425.8,6028
10.9,222585,1426.8,6309
10.5,222805,1447,6080
10.6,223053,1452.9,6125
10.7,223271,1466.9,5947
10.5,223477,1480.6,6077
10.4,223670,1496.5,6228
11.1,223865,1502.4,6109
11.1,224053,1517.8,6173
11.2,224235,1531.2,6109
11,224438,1538.4,6069
10.3,224632,1558.8,5840
9.9,224843,1575.7,5959
10.6,225055,1586.1,5996
9.7,225295,1615.6,6320
9.4,225547,1633.9,6190
9.7,225801,1641.6,6296
9.7,226027,1657.3,6238
10.1,226243,1666.3,6325
9.9,226451,1697.3,6683
10.1,226656,1701.4,6702
10.2,226849,1708.2,6729
11.3,227061,1695.2,7358
11.4,227251,1700.1,7984
11.2,227522,1718.8,8098
11.3,227726,1747.1,8363
11.3,227953,1763.8,8281
11.7,228186,1780.5,8021
11.3,228417,1817.1,8088
11.6,228612,1826.8,8023
11.4,228779,1851.7,7718
10.9,228937,1870,8071
10.8,229071,1884.2,8051
10.8,229224,1902.9,7982
10.9,229403,1904.4,7869
11,229575,1913.8,8174
10.8,229761,1934.5,8098
12.3,229966,1942.1,7863
12,230187,1966.6,8036
12.4,230412,1965.5,8230
13,230641,1963.9,8646
13.2,230822,1970.6,9029
12.5,230989,1988.8,9267
12.7,231157,1997.1,9397
12.1,231313,2021.2,9705
12.2,231470,2024.1,9895
12.9,231645,2026.3,10244
12.3,231809,2044.5,10335
12.3,231992,2048.1,10538
12.5,232188,2072.2,10849
12.6,232392,2080.1,10881
11.8,232599,2104.6,11217
11.3,232816,2125.8,11529
10.9,232993,2149.3,11938
10.9,233160,2161.6,12051
11.1,233322,2174,11534
11.1,233473,2177,11545
10.6,233613,2202.8,11408
10.3,233781,2226.4,11268
9.9,233922,2245.9,11154
9.1,234118,2276,11246
9.6,234307,2304.4,10548
9.2,234501,2320.4,10623
9.6,234701,2334.9,10282
9.7,234907,2357.6,9887
10.3,235078,2366.3,9499
10.1,235235,2393.6,9331
10,235385,2419.4,9008
11.7,235527,2403.5,8791
11.5,235675,2431.6,8746
11.5,235839,2457.5,8762
11.1,235993,2474.5,8456
11.1,236160,2495.6,8226
11.6,236348,2494.6,8537
11.8,236549,2512.2,8519
11.8,236760,2533.8,8367
11.7,236976,2531.3,8381
10.9,237159,2571.4,8198
11.2,237316,2582.6,8358
10.3,237468,2618.8,8423
9.1,237602,2640.8,8321
8.7,237732,2648.5,8339
9.9,237900,2659.5,8395
11.1,238074,2696.4,8302
9.6,238270,2689.4,8460
9.1,238466,2715.7,8513
8.2,238679,2752.1,8196
7.3,238898,2794.7,8248
9.1,239113,2755.8,8298
9,239307,2771.1,8128
8.6,239477,2811.3,8138
8.6,239638,2827.1,7795
9.3,239788,2820.2,8402
9.9,239928,2823.6,8383
9.7,240094,2835.2,8364
9.3,240271,2857.5,8439
9.4,240459,2861.7,8508
9.3,240651,2881.2,8319
9,240854,2898.6,8135
7.2,241068,2971.8,8310
8.4,241274,2932.9,8243
8.8,241467,2928.4,8159
7,241620,2997.1,7883
9.7,241784,2935.5,7892
8.5,241930,3001.7,7865
8.5,242079,3013.3,7862
4.5,242252,3038.8,7542
8.2,242423,3048.4,7574
7.7,242608,3072.8,7398
7.5,242804,3094.7,7268
7.2,243012,3130.8,7261
7.6,243223,3126.5,7102
8.3,243446,3134.5,7227
8.5,243639,3144.2,7035
8.7,243809,3174.1,6936
8.1,243981,3213.7,6953
8.6,244131,3221.4,6929
8.2,244279,3260.5,6876
8.8,244445,3263,6601
8.4,244610,3293.6,6779
8.4,244806,3318.5,6546
8.6,245021,3342.7,6605
8.4,245240,3368,6843
8.9,245464,3375,6604
8.6,245693,3413.7,6568
8.4,245884,3430.2,6537
8.3,246056,3459.7,6518
8.5,246224,3483.7,6682
9,246378,3488,6359
9.5,246530,3498.8,6205
8.4,246721,3543,6468
8.1,246906,3551.8,6375
8.2,247114,3566.6,6577
8.2,247342,3585.7,6495
7.6,247573,3620.6,6511
8.1,247816,3621.9,6590
8.5,248067,3633.6,6630
8.6,248281,3643.3,6725
7.8,248479,3684.2,6667
8,248659,3730.7,6752
8.6,248827,3728.2,6651
8.3,249012,3754.9,6598
8.8,249306,3770,6797
8.7,249565,3775.8,6742
8.6,249849,3804.5,6590
8.7,250132,3821.7,6922
8.1,250439,3848.3,7188
8.1,250751,3870.1,7368
7.8,251057,3870.6,7459
7.9,251346,3871.9,7764
8.8,251626,3861.3,7901
9.3,251889,3841,8015
8.8,252135,3866.7,8265
8,252372,3913,8586
8.6,252643,3907.1,8439
8.4,252913,3933.2,8736
8.9,253207,3940.5,8692
8.2,253493,3966,8586
8.6,253807,3969.1,8666
8.8,254126,3984.7,8722
9.3,254435,3976,8842
9,254718,4003.6,8931
9.7,254964,4020.5,9198
9.4,255214,4084.7,9283
9.8,255448,4099.5,9454
9.7,255703,4117,9460
9.9,255992,4131.5,9415
9.9,256285,4158.4,9744
10.1,256589,4177.1,10040
